Time	Channel A	Channel B
(s)	(V)	(V)

-0.08453507	4.75147600	0.87352360
-0.08440173	4.75147600	0.87352360
-0.08426839	4.75147600	0.87352360
-0.08413506	4.83944400	0.87352360
-0.08400172	4.75147600	0.87352360
-0.08386839	4.75147600	0.78617130
-0.08373505	4.83944400	0.87352360
-0.08360171	4.75147600	0.78617130
-0.08346838	4.83944400	0.78617130
-0.08333504	4.75147600	0.69881890
-0.08320171	4.83944400	0.78617130
-0.08306837	4.75147600	0.69881890
-0.08293503	4.83944400	0.69881890
-0.08280170	4.75147600	0.78617130
-0.08266836	4.83944400	0.78617130
-0.08253503	4.75147600	0.69881890
-0.08240169	4.83944400	0.78617130
-0.08226835	4.75147600	0.78617130
-0.08213502	4.75147600	0.87352360
-0.08200168	4.75147600	0.78617130
-0.08186835	4.75147600	0.87352360
-0.08173501	4.83944400	0.78617130
-0.08160167	4.75147600	0.87352360
-0.08146834	4.75147600	0.87352360
-0.08133500	4.75147600	0.87352360
-0.08120167	4.75147600	0.87352360
-0.08106833	4.83944400	0.87352360
-0.08093499	4.83944400	0.87352360
-0.08080166	4.83944400	0.87352360
-0.08066832	4.83944400	0.78617130
-0.08053499	4.83944400	0.78617130
-0.08040165	4.83944400	0.78617130
-0.08026831	4.83944400	0.69881890
-0.08013498	4.83944400	0.69881890
-0.08000164	4.83944400	0.69881890
-0.07986831	4.75147600	0.69881890
-0.07973497	4.83944400	0.69881890
-0.07960163	4.83944400	0.69881890
-0.07946830	4.83944400	0.69881890
-0.07933496	4.83944400	0.69881890
-0.07920163	4.83944400	0.69881890
-0.07906829	4.75147600	0.69881890
-0.07893495	4.83944400	0.69881890
-0.07880162	4.75147600	0.69881890
-0.07866828	4.75147600	0.78617130
-0.07853495	4.75147600	0.78617130
-0.07840161	4.83944400	0.78617130
-0.07826827	4.75147600	0.78617130
-0.07813494	4.83944400	0.78617130
-0.07800160	4.75147600	0.69881890
-0.07786827	4.75147600	0.78617130
-0.07773493	4.75147600	0.69881890
-0.07760159	4.83944400	0.69881890
-0.07746826	4.83944400	0.69881890
-0.07733492	4.83944400	0.69881890
-0.07720159	4.83944400	0.69881890
-0.07706825	4.83944400	0.69881890
-0.07693491	4.83944400	0.69881890
-0.07680158	4.83944400	0.69881890
-0.07666824	4.83944400	0.69881890
-0.07653491	4.75147600	0.69881890
-0.07640157	4.83944400	0.69881890
-0.07626823	4.83944400	0.78617130
-0.07613490	4.75147600	0.78617130
-0.07600156	4.83944400	0.78617130
-0.07586823	4.83944400	0.78617130
-0.07573489	4.83944400	0.78617130
-0.07560155	4.83944400	0.78617130
-0.07546822	4.75147600	0.87352360
-0.07533488	4.83944400	0.87352360
-0.07520155	4.83944400	0.87352360
-0.07506821	4.83944400	0.87352360
-0.07493487	4.83944400	0.87352360
-0.07480154	4.83944400	0.87352360
-0.07466820	4.83944400	0.87352360
-0.07453487	4.83944400	0.87352360
-0.07440153	4.83944400	0.87352360
-0.07426819	4.83944400	0.78617130
-0.07413486	4.75147600	0.78617130
-0.07400152	4.83944400	0.78617130
-0.07386819	4.83944400	0.78617130
-0.07373485	4.83944400	0.69881890
-0.07360151	4.75147600	0.69881890
-0.07346818	4.83944400	0.69881890
-0.07333484	4.83944400	0.69881890
-0.07320151	4.83944400	0.69881890
-0.07306817	4.83944400	0.69881890
-0.07293483	4.83944400	0.69881890
-0.07280150	4.83944400	0.78617130
-0.07266816	4.83944400	0.69881890
-0.07253483	4.83944400	0.78617130
-0.07240149	4.83944400	0.78617130
-0.07226815	4.75147600	0.78617130
-0.07213482	4.75147600	0.78617130
-0.07200148	4.83944400	0.78617130
-0.07186815	4.75147600	0.78617130
-0.07173481	4.83944400	0.78617130
-0.07160147	4.83944400	0.78617130
-0.07146814	4.83944400	0.78617130
-0.07133480	4.83944400	0.78617130
-0.07120147	4.83944400	0.78617130
-0.07106813	4.83944400	0.78617130
-0.07093479	4.75147600	0.69881890
-0.07080146	4.83944400	0.61146650
-0.07066812	4.83944400	0.69881890
-0.07053479	4.83944400	0.69881890
-0.07040145	4.83944400	0.61146650
-0.07026811	4.83944400	0.61146650
-0.07013478	4.83944400	0.61146650
-0.07000144	4.83944400	0.61146650
-0.06986811	4.83944400	0.69881890
-0.06973477	4.83944400	0.69881890
